,churn,suceessful,revenue,covid_cases_zip,reviews_per_month,review_scores_rating,number_of_reviews_ltm,number_of_reviews,calculated_host_listings_count,calculated_host_listings_count_entire_homes,host_response_time,host_response_rate,host_acceptance_rate,cleaning_fee,maximum_minimum_nights,minimum_nights_avg_ntm,availability_365,review_scores_checkin
5690,0,0,7650,5.0,3.04,85.33333333333333,35,35,7,7,3.6666666666666665,83.5,99.055175,60.0,1.3333333333333333,1.3333333333333333,362,9.0
5691,0,0,95,0.0,2.31,98.0,14,14,1,1,4.0,100.0,94.33105,25.0,1.0,1.0,262,10.0
5692,0,1,9265,28.0,2.63,92.2,23,23,25,21,4.0,100.0,98.06621,75.0,2.6,1.1,36,9.0
5693,0,1,4000,59.0,1.86,96.66666666666667,19,19,1,1,4.0,100.0,95.72184166666666,85.0,2.0,2.0,180,10.0
5694,1,4,12561,34.0,3.34,97.4,38,38,49,49,4.0,100.0,98.46621,130.0,1.4,1.08,5,10.0
5695,1,0,0,14.692020000000001,2.188318,95.61255,0,0,1,1,4.0,100.0,100.0,150.0,1.0,1.0,180,9.872224000000001
5696,0,5,31600,35.0,0.2,99.26875833333334,1,1,2,2,4.0,100.0,96.38850833333333,125.0,2.8333333333333335,2.8333333333333335,140,10.0
5697,0,1,7140,35.0,2.41,99.0,25,25,1,1,4.0,100.0,97.22184166666666,100.0,2.0,2.0,347,10.0
5698,0,0,7140,5.0,2.55,85.83333333333333,30,30,7,7,3.6666666666666665,83.5,99.055175,65.0,1.3333333333333333,1.3333333333333333,364,10.0
5699,1,3,13992,34.0,4.25,97.0,48,48,49,49,4.0,100.0,98.46621,130.0,1.2,1.04,0,10.0
5700,1,2,12243,34.0,3.54,95.2,40,40,49,49,4.0,100.0,98.46621,130.0,1.2,1.04,0,10.0
5701,0,0,5175,76.0,3.81,99.33333333333333,39,39,1,1,4.0,100.0,99.055175,50.0,1.0,1.0,87,10.0
5702,1,2,10494,34.0,2.74,95.8,31,31,49,49,4.0,100.0,98.46621,130.0,1.2,1.04,0,10.0
5703,1,2,10197,34.0,4.42,98.2,50,50,49,49,4.0,100.0,98.46621,99.0,1.2,1.04,0,10.0
5704,1,1,7128,34.0,4.38,95.8,49,49,49,49,4.0,100.0,98.46621,99.0,1.2,1.04,0,10.0
5705,0,1,5400,72.0,1.42,96.0,16,16,1,1,4.0,100.0,96.555175,85.0,2.0,2.0,175,10.0
5706,0,0,5800,35.0,2.41,87.16666666666667,25,25,42,42,4.0,100.0,98.22184166666666,75.0,2.6666666666666665,1.2333333333333332,22,9.0
5707,0,2,9595,35.0,2.3,92.5,26,26,42,42,4.0,100.0,98.22184166666666,75.0,2.6666666666666665,1.2,36,9.0
5708,0,5,28134,29.0,2.05,100.0,23,23,3,3,4.0,100.0,98.38850833333333,198.0,2.0,2.0,76,10.0
5709,0,5,44500,23.0,3.51,96.16666666666667,37,37,3,3,4.0,100.0,99.055175,175.0,3.0,2.8000000000000003,237,10.0
